tradeoff	uninfected	susceptible	resistantA	resistantB	multiResistant
0.99	0.2777812121677836	3.6253317765577677E-6	0.7222092674705195	2.94780460507989E-6	2.9472243331109816E-6
0.98	0.2777812121677759	3.625331776612813E-6	0.7222092079116809	2.947804605301153E-6	3.006776050439708E-6
0.97	0.27778121216777524	3.625331776763065E-6	0.722209147137384	2.9478046055451636E-6	3.0675556625948157E-6
0.96	0.27778121216777524	3.6253317768318667E-6	0.7222090850891145	2.9478046059640942E-6	3.129601566421727E-6
0.95	0.27778121216777535	3.62533177700086E-6	0.7222090217400531	2.9478046064126642E-6	3.1929537943235116E-6
0.94	0.27778121216778384	3.6253317772069422E-6	0.7222089570355792	2.947804607010873E-6	3.257654114259273E-6
0.9299999999999999	0.2777812121747108	3.6253317774291994E-6	0.7222088909474272	2.9478046077407018E-6	3.3237461456589256E-6
0.92	0.27778121217475765	3.6253317776713886E-6	0.7222088234218755	2.9478046086318825E-6	3.3912754969256898E-6
0.91	0.277781212174937	3.6253317780952837E-6	0.7222087543968284	2.9478046097390833E-6	3.4602899358647035E-6
0.9	0.2777812121756487	3.6253317785559235E-6	0.7222086838458304	2.947804611075044E-6	3.5308396086231857E-6
0.89	0.277781212178331	3.6253317792183062E-6	0.7222086117076659	2.947804612697359E-6	3.6029773329964597E-6
0.88	0.2777812121794641	3.6253317800966786E-6	0.7222085379192205	2.9478046146948435E-6	3.6767590044303262E-6
0.87	0.27778121219021273	3.625331781224959E-6	0.7222084624271164	2.9478046171333345E-6	3.752244172640093E-6
0.86	0.277781212204004	3.625331782830261E-6	0.722208385163455	2.947804620096796E-6	3.829496878064555E-6
0.85	0.2777812122219985	3.6253317850497605E-6	0.7222083060578799	2.947804623712281E-6	3.908586879723959E-6
0.84	0.27778121225146296	3.6253317881082787E-6	0.7222082250167954	2.947804628109692E-6	3.989591467462128E-6
0.83	0.27778121229857206	3.6253317923741916E-6	0.7222081419671695	2.947804633522458E-6	4.072598145598689E-6
0.8200000000000001	0.27778121237919756	3.625331798318089E-6	0.722208056774631	2.947804640302595E-6	4.157708600972144E-6
0.81	0.27778121249771587	3.6253318065880236E-6	0.7222079693265443	2.947804648667604E-6	4.245044553871513E-6
