tradeoff	uninfected	susceptible	resistantA	resistantB	multiResistant
0.99	0.42245492227003456	1.0285583101676116E-5	0.3325582169017413	0.2449714735931268	5.101648382854743E-6
0.98	0.4224549231622926	1.0285583099719993E-5	0.3325580843123205	0.2449713759190193	5.33101893082138E-6
0.97	0.42245492413269414	1.0285583097365569E-5	0.3325579421883293	0.24497127122381915	5.576885060399116E-6
0.96	0.4224549251576336	1.0285583094725023E-5	0.332557789455908	0.24497115871002745	5.841092614989727E-6
0.95	0.4224549262856749	1.0285583092208066E-5	0.33255762488380863	0.24497103747250623	6.125773506545356E-6
0.94	0.42245492748474933	1.0285583089289558E-5	0.33255744705454887	0.2449709064696976	6.4334033667240165E-6
0.9299999999999999	0.42245492880082947	1.0285583086409946E-5	0.3325572542770679	0.2449707644684313	6.766873727734366E-6
0.92	0.42245493021692826	1.0285583083147931E-5	0.33255704460804614	0.24497061000942913	7.129583188503278E-6
0.91	0.42245493177300647	1.0285583079348788E-5	0.3325568157030491	0.24497044138680782	7.525553663148419E-6
0.9	0.42245493346603025	1.028558307522097E-5	0.33255656480619955	0.24497025655203394	7.959580144559594E-6
0.89	0.4224549353427984	1.0285583071287566E-5	0.3325562885742305	0.2449700530630238	8.437425829165854E-6
0.88	0.42245493741944756	1.028558306615868E-5	0.3325559829812228	0.24496982793833122	8.966079483248564E-6
0.87	0.4224549397314069	1.028558306082047E-5	0.33255564305159324	0.2449695775302857	9.5540995133195E-6
0.86	0.42245494230875386	1.0285583054768992E-5	0.3325552626960311	0.24496929733774664	1.0212080848685917E-5
0.85	0.4224549452182009	1.0285583048196517E-5	0.3325548342167367	0.24496898168622894	1.0953299007904216E-5
0.84	0.42245494851817617	1.0285583040235217E-5	0.3325543478714121	0.24496862341725056	1.1794615100246137E-5
0.83	0.4224549523004846	1.0285583031378837E-5	0.33255379109444244	0.2449682132573481	1.2757774028469927E-5
0.8200000000000001	0.4224549566662979	1.0285583021153798E-5	0.33255314739145886	0.24496773906204816	1.387131075250514E-5
0.81	0.4224549617654756	1.0285583009303444E-5	0.3325523946613422	0.24496718455501748	1.5173425031989547E-5
0.8	0.4224549678188529	1.0285582995095597E-5	0.3325515026811902	0.24496652746766678	1.671645179565642E-5
0.79	0.42245497509949875	1.0285582978060622E-5	0.33255042884202635	0.24496573640455382	1.8574065718530693E-5
0.78	0.42245498404396487	1.0285582957170549E-5	0.3325491112195152	0.2449647657609882	2.0853392527727395E-5
0.77	0.4224549952777289	1.028558293100036E-5	0.3325474561764087	0.2449635465437271	2.3716424935477957E-5
0.76	0.42245500981061135	1.0285582896817706E-5	0.332545315055811	0.24496196925484434	2.7420307666033467E-5
0.75	0.4224550293304755	1.0285582851212758E-5	0.3325424368704049	0.24495984899071596	3.239922598676633E-5
0.74	0.4224550569817599	1.028558278654135E-5	0.33253836189358715	0.24495684709752794	3.944844531781013E-5
0.73	0.4224550991593718	1.028558268783069E-5	0.33253214773540724	0.2449522693367952	5.0198188437250995E-5
0.72	0.4224551713397362	1.0285582519067802E-5	0.3325215104522993	0.24494443321816173	6.859940449823796E-5
0.71	0.42245532327893165	1.0285582163762703E-5	0.3324991182902736	0.24492793768920312	1.0733514994737762E-4
0.7	0.42245585046969947	1.0285580930930533E-5	0.33242142654362095	0.24487070486012513	2.4173254404642841E-4
0.69	0.42408380496075554	1.0181509813011054E-5	0.0011819189300056549	8.704915395303437E-4	0.573853603051424
0.6799999999999999	0.4208777064390699	9.701058167530262E-6	1.932999097105761E-4	1.422841540266253E-4	0.5787770084426802
0.6699999999999999	0.4177138060961778	9.274711832148469E-6	1.0653521274999715E-4	7.837354414978781E-5	0.5820920104195045
0.6599999999999999	0.4145967693958425	8.893809028589633E-6	7.412748287547514E-5	5.450172781054081E-5	0.5852657075765694
0.6499999999999999	0.4115258103326086	8.551451363040188E-6	5.718009101216926E-5	4.201784621865667E-5	0.5883664402653638
0.64	0.4084999706405607	8.24206971648724E-6	4.676058449539805E-5	3.4342346203235375E-5	0.591410684352778
0.63	0.40551828266562434	7.961118578824786E-6	3.970643946556125E-5	2.9145744995908503E-5	0.5944049040444934
0.62	0.4025797955107104	7.704851176833597E-6	3.461394188949161E-5	2.5394081099173754E-5	0.5973524916213598
0.61	0.39968358131466836	7.470151405637091E-6	3.076475002300515E-5	2.2558231209390233E-5	0.600255625555347
0.6	0.3968287367227431	7.254406489522051E-6	2.77531022483571E-5	2.0339315339759164E-5	0.6031159164419322
0.59	0.39401438304743197	7.055409301221146E-6	2.533247754524572E-5	1.8555748494894453E-5	0.6059346733242481
0.5800000000000001	0.39123966579797614	6.871282578192791E-6	2.3344457783815408E-5	1.7090841364797962E-5	0.6087130276170224
0.5700000000000001	0.3885037540469213	6.70041951700723E-6	2.1682597527217152E-5	1.5866187197812827E-5	0.6114519967344512
0.56	0.3858058397891003	6.5414367611538225E-6	2.0272726091400416E-5	1.4827152494133073E-5	0.6141525189047794
0.55	0.38314513716192117	6.393136863153401E-6	1.9061577125833532E-5	1.3934501675187858E-5	0.6168154736384251
0.54	0.3805208817412716	6.254478069682272E-6	1.800990875377819E-5	1.3159329449549034E-5	0.6194416945285292
