tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.99	0.4224175902992815	5.2157271549530085E-6	5.2157271549530085E-6	0.17211301735331147	0.11667040646699788	0.11667040646699788	0.17211301735331147	2.5653037116416735E-6	2.5653037116416735E-6
0.98	0.4224175915764201	5.215727153226431E-6	5.215727153226431E-6	0.172112947731877	0.11667035925764618	0.11667035925764618	0.172112947731877	2.681494995874896E-6	2.681494995874896E-6
0.97	0.422417592948321	5.215727151353128E-6	5.215727151353128E-6	0.17211287305497025	0.11667030862005295	0.11667030862005295	0.17211287305497025	2.806124244076074E-6	2.806124244076074E-6
0.96	0.42241759442251775	5.215727149346552E-6	5.215727149346552E-6	0.17211279275022717	0.11667025416664285	0.11667025416664285	0.17211279275022717	2.9401452583923068E-6	2.9401452583923068E-6
0.95	0.42241759601224355	5.215727147182343E-6	5.215727147182343E-6	0.1721127061569607	0.11667019544859072	0.11667019544859072	0.1721127061569607	3.0846612225441022E-6	3.0846612225441022E-6
0.94	0.42241759773191634	5.215727144849968E-6	5.215727144849968E-6	0.17211261250631243	0.11667013194531739	0.11667013194531739	0.17211261250631243	3.240955138201382E-6	3.240955138201382E-6
0.9299999999999999	0.4224175995986563	5.215727142308242E-6	5.215727142308242E-6	0.17211251089841312	0.1166700630468565	0.1166700630468565	0.17211251089841312	3.410528019016103E-6	3.410528019016103E-6
0.92	0.42241760162932857	5.215727139562371E-6	5.215727139562371E-6	0.17211240027599958	0.11666998803478433	0.11666998803478433	0.17211240027599958	3.59514725182461E-6	3.59514725182461E-6
0.91	0.4224176038503698	5.215727136532487E-6	5.215727136532487E-6	0.17211227938105728	0.11666990605776513	0.11666990605776513	0.17211227938105728	3.796908428761709E-6	3.796908428761709E-6
0.9	0.4224176062860542	5.2157271332340995E-6	5.2157271332340995E-6	0.17211214671576422	0.1166698160989278	0.1166698160989278	0.17211214671576422	4.018315241437462E-6	4.018315241437462E-6
0.89	0.42241760897307795	5.215727129581442E-6	5.215727129581442E-6	0.17211200047083508	0.11666971693197166	0.11666971693197166	0.17211200047083508	4.2623839075120765E-6	4.2623839075120765E-6
0.88	0.4224176119489452	5.215727125530222E-6	5.215727125530222E-6	0.17211183844895203	0.11666960706790669	0.11666960706790669	0.17211183844895203	4.532781392401008E-6	4.532781392401008E-6
0.87	0.42241761526387855	5.215727121032722E-6	5.215727121032722E-6	0.17211165795379238	0.11666948467609455	0.11666948467609455	0.17211165795379238	4.83401091296203E-6	4.83401091296203E-6
0.86	0.42241761898111635	5.215727115981383E-6	5.215727115981383E-6	0.1721114556330502	0.11666934748494183	0.11666934748494183	0.1721114556330502	5.17166473407463E-6	5.17166473407463E-6
0.85	0.42241762317530396	5.215727110275526E-6	5.215727110275526E-6	0.17211122727348274	0.1166691926373482	0.1166691926373482	0.17211122727348274	5.552774569924721E-6	5.552774569924721E-6
0.84	0.4224176279464237	5.215727103809685E-6	5.215727103809685E-6	0.17211096750226954	0.11666901649009435	0.11666901649009435	0.17211096750226954	5.986306579875657E-6	5.986306579875657E-6
0.83	0.4224176334240046	5.215727096345052E-6	5.215727096345052E-6	0.17211066936078848	0.11666881432446255	0.11666881432446255	0.17211066936078848	6.4838757125482606E-6	6.4838757125482606E-6
0.8200000000000001	0.42241763977359154	5.215727087726276E-6	5.215727087726276E-6	0.17211032366878867	0.11666857991510186	0.11666857991510186	0.17211032366878867	7.0608018408045866E-6	7.0608018408045866E-6
0.81	0.42241764722458497	5.215727077611352E-6	5.215727077611352E-6	0.17210991806498435	0.11666830488067972	0.11666830488067972	0.17210991806498435	7.737715013359561E-6	7.737715013359561E-6
0.8	0.42241765608924897	5.2157270655654785E-6	5.2157270655654785E-6	0.17210943549628202	0.11666797765725208	0.11666797765725208	0.17210943549628202	8.543074510592414E-6	8.543074510592414E-6
0.79	0.42241766681337367	5.215727050981347E-6	5.215727050981347E-6	0.17210885176064614	0.11666758183363929	0.11666758183363929	0.17210885176064614	9.51727221046568E-6	9.51727221046568E-6
0.78	0.42241768004833197	5.215727033003356E-6	5.215727033003356E-6	0.1721081313189357	0.11666709331141985	0.11666709331141985	0.1721081313189357	1.0719618877212425E-5	1.0719618877212425E-5
0.77	0.4224176967934455	5.215727010246683E-6	5.215727010246683E-6	0.17210721977828286	0.11666647520793781	0.11666647520793781	0.17210721977828286	1.2240889821971643E-5	1.2240889821971643E-5
0.76	0.4224177186599627	5.215726980537663E-6	5.215726980537663E-6	0.17210602948032208	0.11666566808233067	0.11666566808233067	0.17210602948032208	1.4227380323348077E-5	1.4227380323348077E-5
0.75	0.42241774842113655	5.215726940118427E-6	5.215726940118427E-6	0.17210440947204242	0.11666456957640879	0.11666456957640879	0.17210440947204242	1.693101379294638E-5	1.693101379294638E-5
0.74	0.4224177912918634	5.215726881849956E-6	5.215726881849956E-6	0.17210207580644826	0.11666298714839397	0.11666298714839397	0.17210207580644826	2.082567201001727E-5	2.082567201001727E-5
0.73	0.4224178583858134	5.215726790697362E-6	5.215726790697362E-6	0.1720984236890517	0.11666051069618666	0.11666051069618666	0.1720984236890517	2.6920694567595438E-5	2.6920694567595438E-5
0.72	0.4224179783092096	5.215726627761729E-6	5.215726627761729E-6	0.1720918959034586	0.11665608429097243	0.11665608429097243	0.1720918959034586	3.7814924587997866E-5	3.7814924587997866E-5
